player,season,award,first_place_votes,award_pts_won,award_pts_max
Grant Hill,1997,mvp,0.0,376.0,1150
Tim Hardaway,1997,mvp,0.0,238.0,1150
Glen Rice,1997,mvp,0.0,134.0,1150
Gary Payton,1997,mvp,0.0,105.0,1150
Hakeem Olajuwon,1997,mvp,0.0,95.0,1150
Patrick Ewing,1997,mvp,0.0,57.0,1150
Anthony Mason,1997,mvp,0.0,7.0,1150
Shaquille O'Neal,1997,mvp,0.0,7.0,1150
Scottie Pippen,1997,mvp,0.0,6.0,1150
Alonzo Mourning,1997,mvp,0.0,5.0,1150
Dikembe Mutombo,1997,mvp,0.0,4.0,1150
Mitch Richmond,1997,mvp,0.0,4.0,1150
John Stockton,1997,mvp,0.0,3.0,1150
Charles Barkley,1997,mvp,0.0,2.0,1150
Tom Gugliotta,1997,mvp,0.0,1.0,1150
Allen Iverson,1997,mvp,0.0,1.0,1150
Kevin Johnson,1997,mvp,0.0,1.0,1150
Steve Smith,1997,mvp,0.0,1.0,1150
Allen Iverson,1997,roy,44.0,44.0,115
Stephon Marbury,1997,roy,35.0,35.0,115
Shareef Abdur-Rahim,1997,roy,25.0,25.0,115
Antoine Walker,1997,roy,6.0,6.0,115
Kerry Kittles,1997,roy,5.0,5.0,115
Dikembe Mutombo,1997,dpoy,60.0,60.0,115
Gary Payton,1997,dpoy,25.0,25.0,115
Mookie Blaylock,1997,dpoy,18.0,18.0,115
Scottie Pippen,1997,dpoy,4.0,4.0,115
Michael Jordan,1997,dpoy,3.0,3.0,115
Joe Dumars,1997,dpoy,1.0,1.0,115
Mario Elie,1997,dpoy,1.0,1.0,115
Rick Fox,1997,dpoy,1.0,1.0,115
Horace Grant,1997,dpoy,1.0,1.0,115
Shawn Kemp,1997,dpoy,1.0,1.0,115
John Starks,1997,smoy,84.0,84.0,115
Toni Kukoč,1997,smoy,7.0,7.0,115
Chris Gatling,1997,smoy,6.0,6.0,115
Terry Mills,1997,smoy,5.0,5.0,115
Dell Curry,1997,smoy,4.0,4.0,115
Sam Perkins,1997,smoy,4.0,4.0,115
Isaac Austin,1997,smoy,1.0,1.0,115
Mark Davis,1997,smoy,1.0,1.0,115
Danny Manning,1997,smoy,1.0,1.0,115
Bo Outlaw,1997,smoy,1.0,1.0,115
Dominique Wilkins,1997,smoy,1.0,1.0,115
Isaac Austin,1997,mip,41.0,41.0,115
Doug Christie,1997,mip,17.0,17.0,115
Rasheed Wallace,1997,mip,13.0,13.0,115
Voshon Lenard,1997,mip,9.0,9.0,115
Kendall Gill,1997,mip,7.0,7.0,115
Glen Rice,1997,mip,7.0,7.0,115
Lindsey Hunter,1997,mip,5.0,5.0,115
Kevin Garnett,1997,mip,4.0,4.0,115
LaPhonso Ellis,1997,mip,3.0,3.0,115
Tom Gugliotta,1997,mip,3.0,3.0,115
David Wesley,1997,mip,2.0,2.0,115
Tim Hardaway,1997,mip,1.0,1.0,115
Eddie Jones,1997,mip,1.0,1.0,115
Rony Seikaly,1997,mip,1.0,1.0,115
Monty Williams,1997,mip,1.0,1.0,115
Michael Jordan,1998,mvp,92.0,1084.0,1160
Karl Malone,1998,mvp,20.0,842.0,1160
Gary Payton,1998,mvp,3.0,431.0,1160
Shaquille O'Neal,1998,mvp,1.0,311.0,1160
Tim Duncan,1998,mvp,0.0,148.0,1160
Tim Hardaway,1998,mvp,0.0,71.0,1160
David Robinson,1998,mvp,0.0,36.0,1160
Vin Baker,1998,mvp,0.0,24.0,1160
Grant Hill,1998,mvp,0.0,23.0,1160
Scottie Pippen,1998,mvp,0.0,14.0,1160
Glen Rice,1998,mvp,0.0,7.0,1160
Antoine Walker,1998,mvp,0.0,6.0,1160
Jason Kidd,1998,mvp,0.0,5.0,1160
John Stockton,1998,mvp,0.0,5.0,1160
Mitch Richmond,1998,mvp,0.0,3.0,1160
Reggie Miller,1998,mvp,0.0,2.0,1160
Rik Smits,1998,mvp,0.0,2.0,1160
Michael Finley,1998,mvp,0.0,1.0,1160
Rod Strickland,1998,mvp,0.0,1.0,1160
Tim Duncan,1998,roy,113.0,113.0,116
Keith Van Horn,1998,roy,3.0,3.0,116
Dikembe Mutombo,1998,dpoy,39.0,39.0,116
Gary Payton,1998,dpoy,37.0,37.0,116
David Robinson,1998,dpoy,10.0,10.0,116
Michael Jordan,1998,dpoy,6.0,6.0,116
Mookie Blaylock,1998,dpoy,4.0,4.0,116
Tim Duncan,1998,dpoy,4.0,4.0,116
Bo Outlaw,1998,dpoy,4.0,4.0,116
Dennis Rodman,1998,dpoy,4.0,4.0,116
Anthony Mason,1998,dpoy,2.0,2.0,116
Scottie Pippen,1998,dpoy,2.0,2.0,116
Kevin Garnett,1998,dpoy,1.0,1.0,116
Kendall Gill,1998,dpoy,1.0,1.0,116
Horace Grant,1998,dpoy,1.0,1.0,116
Brevin Knight,1998,dpoy,1.0,1.0,116
Danny Manning,1998,smoy,57.0,57.0,116
Kobe Bryant,1998,smoy,31.0,31.0,116
Dale Ellis,1998,smoy,21.0,21.0,116
John Starks,1998,smoy,3.0,3.0,116
Jerry Stackhouse,1998,smoy,2.0,2.0,116
Michael Curry,1998,smoy,1.0,1.0,116
Tracy Murray,1998,smoy,1.0,1.0,116
Alan Henderson,1998,mip,33.0,33.0,116
Corliss Williamson,1998,mip,25.0,25.0,116
Donyell Marshall,1998,mip,24.0,24.0,116
Nick Anderson,1998,mip,6.0,6.0,116
Michael Finley,1998,mip,6.0,6.0,116
Theo Ratliff,1998,mip,5.0,5.0,116
Kobe Bryant,1998,mip,3.0,3.0,116
Vin Baker,1998,mip,2.0,2.0,116
Lamond Murray,1998,mip,2.0,2.0,116
Bo Outlaw,1998,mip,2.0,2.0,116
Antoine Walker,1998,mip,2.0,2.0,116
John Wallace,1998,mip,2.0,2.0,116
Matt Geiger,1998,mip,1.0,1.0,116
Karl Malone,1998,mip,1.0,1.0,116
Jalen Rose,1998,mip,1.0,1.0,116
Rod Strickland,1998,mip,1.0,1.0,116
Karl Malone,1999,mvp,44.0,827.0,1180
Alonzo Mourning,1999,mvp,36.0,773.0,1180
Tim Duncan,1999,mvp,30.0,740.0,1180
Allen Iverson,1999,mvp,5.0,319.0,1180
Jason Kidd,1999,mvp,2.0,159.0,1180
Shaquille O'Neal,1999,mvp,1.0,89.0,1180
Chris Webber,1999,mvp,0.0,51.0,1180
Grant Hill,1999,mvp,0.0,39.0,1180
Gary Payton,1999,mvp,0.0,35.0,1180
Kevin Garnett,1999,mvp,0.0,9.0,1180
Shawn Kemp,1999,mvp,0.0,7.0,1180
David Robinson,1999,mvp,0.0,6.0,1180
Hakeem Olajuwon,1999,mvp,0.0,3.0,1180
Arvydas Sabonis,1999,mvp,0.0,3.0,1180
Darrell Armstrong,1999,mvp,0.0,2.0,1180
Vince Carter,1999,mvp,0.0,1.0,1180
Anfernee Hardaway,1999,mvp,0.0,1.0,1180
Mark Jackson,1999,mvp,0.0,1.0,1180
Glenn Robinson,1999,mvp,0.0,1.0,1180
Steve Smith,1999,mvp,0.0,1.0,1180
Rasheed Wallace,1999,mvp,0.0,1.0,1180
Vince Carter,1999,roy,113.0,113.0,118
Jason Williams,1999,roy,3.0,3.0,118
Paul Pierce,1999,roy,2.0,2.0,118
Alonzo Mourning,1999,dpoy,89.0,89.0,118
Dikembe Mutombo,1999,dpoy,10.0,10.0,118
Gary Payton,1999,dpoy,6.0,6.0,118
David Robinson,1999,dpoy,3.0,3.0,118
Tim Duncan,1999,dpoy,2.0,2.0,118
Theo Ratliff,1999,dpoy,2.0,2.0,118
Michael Curry,1999,dpoy,1.0,1.0,118
Kevin Garnett,1999,dpoy,1.0,1.0,118
Eddie Jones,1999,dpoy,1.0,1.0,118
Hakeem Olajuwon,1999,dpoy,1.0,1.0,118
Scottie Pippen,1999,dpoy,1.0,1.0,118
Clifford Robinson,1999,dpoy,1.0,1.0,118
Darrell Armstrong,1999,smoy,85.0,85.0,118
Rasheed Wallace,1999,smoy,16.0,16.0,118
Antonio Davis,1999,smoy,5.0,5.0,118
Jalen Rose,1999,smoy,5.0,5.0,118
Dee Brown,1999,smoy,2.0,2.0,118
Dell Curry,1999,smoy,2.0,2.0,118
Terry Porter,1999,smoy,2.0,2.0,118
Howard Eisley,1999,smoy,1.0,1.0,118
Darrell Armstrong,1999,mip,54.0,54.0,118
Eric Snow,1999,mip,15.0,15.0,118
Gary Trent,1999,mip,14.0,14.0,118
Joe Smith,1999,mip,8.0,8.0,118
Danny Fortson,1999,mip,7.0,7.0,118
Theo Ratliff,1999,mip,4.0,4.0,118
Maurice Taylor,1999,mip,3.0,3.0,118
Brian Grant,1999,mip,2.0,2.0,118
Tracy McGrady,1999,mip,2.0,2.0,118
Dee Brown,1999,mip,1.0,1.0,118
Randy Brown,1999,mip,1.0,1.0,118
Othella Harrington,1999,mip,1.0,1.0,118
Antonio McDyess,1999,mip,1.0,1.0,118
Greg Ostertag,1999,mip,1.0,1.0,118
Clifford Robinson,1999,mip,1.0,1.0,118
Bryon Russell,1999,mip,1.0,1.0,118
Latrell Sprewell,1999,mip,1.0,1.0,118
Haywoode Workman,1999,mip,1.0,1.0,118
Shaquille O'Neal,2000,mvp,120.0,1207.0,1210
Kevin Garnett,2000,mvp,0.0,408.0,1210
Alonzo Mourning,2000,mvp,0.0,367.0,1210
Karl Malone,2000,mvp,0.0,312.0,1210
Tim Duncan,2000,mvp,0.0,248.0,1210
Gary Payton,2000,mvp,0.0,180.0,1210
Allen Iverson,2000,mvp,1.0,132.0,1210
Grant Hill,2000,mvp,0.0,113.0,1210
Chris Webber,2000,mvp,0.0,96.0,1210
Vince Carter,2000,mvp,0.0,51.0,1210
Jason Kidd,2000,mvp,0.0,25.0,1210
Kobe Bryant,2000,mvp,0.0,3.0,1210
Darrell Armstrong,2000,mvp,0.0,1.0,1210
Michael Finley,2000,mvp,0.0,1.0,1210
Reggie Miller,2000,mvp,0.0,1.0,1210
Jalen Rose,2000,mvp,0.0,1.0,1210
Elton Brand,2000,roy,58.0,58.0,121
Steve Francis,2000,roy,58.0,58.0,121
Lamar Odom,2000,roy,3.0,3.0,121
Andre Miller,2000,roy,2.0,2.0,121
Alonzo Mourning,2000,dpoy,62.0,62.0,121
Shaquille O'Neal,2000,dpoy,21.0,21.0,121
Eddie Jones,2000,dpoy,11.0,11.0,121
Dikembe Mutombo,2000,dpoy,11.0,11.0,121
Kobe Bryant,2000,dpoy,4.0,4.0,121
Gary Payton,2000,dpoy,4.0,4.0,121
Kevin Garnett,2000,dpoy,2.0,2.0,121
Kendall Gill,2000,dpoy,1.0,1.0,121
Jason Kidd,2000,dpoy,1.0,1.0,121
Anthony Mason,2000,dpoy,1.0,1.0,121
Bo Outlaw,2000,dpoy,1.0,1.0,121
Scottie Pippen,2000,dpoy,1.0,1.0,121
Clifford Robinson,2000,dpoy,1.0,1.0,121
Rodney Rogers,2000,smoy,104.0,104.0,121
Cuttino Mobley,2000,smoy,7.0,7.0,121
Cedric Ceballos,2000,smoy,3.0,3.0,121
Tracy McGrady,2000,smoy,3.0,3.0,121
Jerome Williams,2000,smoy,2.0,2.0,121
Marcus Camby,2000,smoy,1.0,1.0,121
Peja Stojaković,2000,smoy,1.0,1.0,121
Jalen Rose,2000,mip,32.0,32.0,121
Dirk Nowitzki,2000,mip,25.0,25.0,121
Jerry Stackhouse,2000,mip,19.0,19.0,121
Austin Croshere,2000,mip,17.0,17.0,121
Tracy McGrady,2000,mip,7.0,7.0,121
John Amaechi,2000,mip,4.0,4.0,121
Ruben Patterson,2000,mip,4.0,4.0,121
Michael Dickerson,2000,mip,3.0,3.0,121
Rodney Rogers,2000,mip,3.0,3.0,121
Shaquille O'Neal,2000,mip,2.0,2.0,121
Kobe Bryant,2000,mip,1.0,1.0,121
Derrick Coleman,2000,mip,1.0,1.0,121
Sean Elliott,2000,mip,1.0,1.0,121
Rashard Lewis,2000,mip,1.0,1.0,121
Bob Sura,2000,mip,1.0,1.0,121
Allen Iverson,2001,mvp,93.0,1121.0,1240
Tim Duncan,2001,mvp,18.0,706.0,1240
Shaquille O'Neal,2001,mvp,7.0,578.0,1240
Chris Webber,2001,mvp,5.0,521.0,1240
Kevin Garnett,2001,mvp,1.0,151.0,1240
Tracy McGrady,2001,mvp,0.0,64.0,1240
Karl Malone,2001,mvp,0.0,21.0,1240
Jason Kidd,2001,mvp,0.0,18.0,1240
Kobe Bryant,2001,mvp,0.0,11.0,1240
David Robinson,2001,mvp,0.0,8.0,1240
Ray Allen,2001,mvp,0.0,7.0,1240
Vince Carter,2001,mvp,0.0,7.0,1240
Paul Pierce,2001,mvp,0.0,5.0,1240
Jerry Stackhouse,2001,mvp,0.0,3.0,1240
Michael Finley,2001,mvp,0.0,1.0,1240
Anthony Mason,2001,mvp,0.0,1.0,1240
John Stockton,2001,mvp,0.0,1.0,1240
Mike Miller,2001,roy,75.0,75.0,124
Kenyon Martin,2001,roy,36.0,36.0,124
Marc Jackson,2001,roy,7.0,7.0,124
Darius Miles,2001,roy,3.0,3.0,124
Morris Peterson,2001,roy,3.0,3.0,124
Dikembe Mutombo,2001,dpoy,48.0,48.0,123
Kevin Garnett,2001,dpoy,26.0,26.0,123
Tim Duncan,2001,dpoy,14.0,14.0,123
Doug Christie,2001,dpoy,9.0,9.0,123
David Robinson,2001,dpoy,6.0,6.0,123
Ben Wallace,2001,dpoy,6.0,6.0,123
Theo Ratliff,2001,dpoy,4.0,4.0,123
Bruce Bowen,2001,dpoy,2.0,2.0,123
Anthony Mason,2001,dpoy,2.0,2.0,123
Shaquille O'Neal,2001,dpoy,2.0,2.0,123
Kobe Bryant,2001,dpoy,1.0,1.0,123
Allen Iverson,2001,dpoy,1.0,1.0,123
Jason Kidd,2001,dpoy,1.0,1.0,123
Shawn Marion,2001,dpoy,1.0,1.0,123
Aaron McKie,2001,smoy,57.0,57.0,124
Tim Thomas,2001,smoy,27.0,27.0,124
LaPhonso Ellis,2001,smoy,10.0,10.0,124
Bobby Jackson,2001,smoy,9.0,9.0,124
Travis Best,2001,smoy,5.0,5.0,124
Ruben Patterson,2001,smoy,4.0,4.0,124
Rodney Rogers,2001,smoy,4.0,4.0,124
Steve Smith,2001,smoy,4.0,4.0,124
Donyell Marshall,2001,smoy,2.0,2.0,124
Austin Croshere,2001,smoy,1.0,1.0,124
Tony Delk,2001,smoy,1.0,1.0,124
Tracy McGrady,2001,mip,74.0,74.0,124
Peja Stojaković,2001,mip,14.0,14.0,124
Steve Nash,2001,mip,12.0,12.0,124
Shawn Marion,2001,mip,6.0,6.0,124
Baron Davis,2001,mip,4.0,4.0,124
Dirk Nowitzki,2001,mip,4.0,4.0,124
Travis Best,2001,mip,2.0,2.0,124
Jason Terry,2001,mip,2.0,2.0,124
Richard Hamilton,2001,mip,1.0,1.0,124
Donyell Marshall,2001,mip,1.0,1.0,124
Jeff McInnis,2001,mip,1.0,1.0,124
Ben Wallace,2001,mip,1.0,1.0,124
Bonzi Wells,2001,mip,1.0,1.0,124
Alvin Williams,2001,mip,1.0,1.0,124
Tim Duncan,2002,mvp,57.0,954.0,1260
Jason Kidd,2002,mvp,45.0,897.0,1260
Shaquille O'Neal,2002,mvp,15.0,696.0,1260
Tracy McGrady,2002,mvp,7.0,390.0,1260
Kobe Bryant,2002,mvp,1.0,98.0,1260
Gary Payton,2002,mvp,1.0,54.0,1260
Chris Webber,2002,mvp,0.0,37.0,1260
Dirk Nowitzki,2002,mvp,0.0,31.0,1260
Allen Iverson,2002,mvp,0.0,29.0,1260
Ben Wallace,2002,mvp,0.0,24.0,1260
Paul Pierce,2002,mvp,0.0,22.0,1260
Kevin Garnett,2002,mvp,0.0,17.0,1260
Michael Jordan,2002,mvp,0.0,16.0,1260
Steve Nash,2002,mvp,0.0,5.0,1260
Jerry Stackhouse,2002,mvp,0.0,3.0,1260
Mike Bibby,2002,mvp,0.0,1.0,1260
Elton Brand,2002,mvp,0.0,1.0,1260
Peja Stojaković,2002,mvp,0.0,1.0,1260
Pau Gasol,2002,roy,117.0,117.0,126
Richard Jefferson,2002,roy,3.0,3.0,126
Andrei Kirilenko,2002,roy,2.0,2.0,126
Jason Richardson,2002,roy,2.0,2.0,126
Jamaal Tinsley,2002,roy,2.0,2.0,126
Ben Wallace,2002,dpoy,116.0,116.0,120
Kevin Garnett,2002,dpoy,2.0,2.0,120
Kobe Bryant,2002,dpoy,1.0,1.0,120
Dikembe Mutombo,2002,dpoy,1.0,1.0,120
Corliss Williamson,2002,smoy,56.0,56.0,125
Bobby Jackson,2002,smoy,30.0,30.0,125
Quentin Richardson,2002,smoy,20.0,20.0,125
Malik Rose,2002,smoy,8.0,8.0,125
Troy Hudson,2002,smoy,3.0,3.0,125
Desmond Mason,2002,smoy,3.0,3.0,125
Hedo Türkoğlu,2002,smoy,2.0,2.0,125
Ricky Davis,2002,smoy,1.0,1.0,125
Robert Horry,2002,smoy,1.0,1.0,125
Jacque Vaughn,2002,smoy,1.0,1.0,125
Jermaine O'Neal,2002,mip,52.0,52.0,126
Ben Wallace,2002,mip,16.0,16.0,126
Steve Nash,2002,mip,9.0,9.0,126
Jerry Stackhouse,2002,mip,7.0,7.0,126
Brent Barry,2002,mip,6.0,6.0,126
Wally Szczerbiak,2002,mip,5.0,5.0,126
Troy Hudson,2002,mip,4.0,4.0,126
Michael Olowokandi,2002,mip,4.0,4.0,126
Kenyon Martin,2002,mip,3.0,3.0,126
Andre Miller,2002,mip,3.0,3.0,126
Michael Redd,2002,mip,3.0,3.0,126
Desmond Mason,2002,mip,2.0,2.0,126
Gary Payton,2002,mip,2.0,2.0,126
Kenny Thomas,2002,mip,2.0,2.0,126
Hedo Türkoğlu,2002,mip,2.0,2.0,126
Ricky Davis,2002,mip,1.0,1.0,126
Bobby Jackson,2002,mip,1.0,1.0,126
Todd MacCulloch,2002,mip,1.0,1.0,126
Lee Nailon,2002,mip,1.0,1.0,126
Wesley Person,2002,mip,1.0,1.0,126
Jason Terry,2002,mip,1.0,1.0,126
Tim Duncan,2003,mvp,60.0,962.0,1190
Kevin Garnett,2003,mvp,43.0,871.0,1190
Kobe Bryant,2003,mvp,8.0,496.0,1190
Tracy McGrady,2003,mvp,4.0,427.0,1190
Shaquille O'Neal,2003,mvp,3.0,126.0,1190
Allen Iverson,2003,mvp,0.0,83.0,1190
Dirk Nowitzki,2003,mvp,0.0,43.0,1190
Ben Wallace,2003,mvp,1.0,33.0,1190
Jason Kidd,2003,mvp,0.0,31.0,1190
Chris Webber,2003,mvp,0.0,19.0,1190
Jamal Mashburn,2003,mvp,0.0,1.0,1190
Steve Nash,2003,mvp,0.0,1.0,1190
Paul Pierce,2003,mvp,0.0,1.0,1190
Amar'e Stoudemire,2003,roy,59.0,458.0,585
Yao Ming,2003,roy,45.0,405.0,585
Caron Butler,2003,roy,13.0,179.0,585
Manu Ginóbili,2003,roy,0.0,5.0,585
Drew Gooden,2003,roy,0.0,3.0,585
Nenê Hilário,2003,roy,0.0,2.0,585
Carlos Boozer,2003,roy,0.0,1.0,585
Ben Wallace,2003,dpoy,100.0,531.0,585
Metta World Peace,2003,dpoy,2.0,122.0,585
Kevin Garnett,2003,dpoy,8.0,121.0,585
Tim Duncan,2003,dpoy,2.0,90.0,585
Doug Christie,2003,dpoy,5.0,85.0,585
Allen Iverson,2003,dpoy,0.0,29.0,585
Bruce Bowen,2003,dpoy,0.0,20.0,585
Kobe Bryant,2003,dpoy,0.0,16.0,585
Theo Ratliff,2003,dpoy,0.0,15.0,585
Eric Snow,2003,dpoy,0.0,6.0,585
Gary Payton,2003,dpoy,0.0,5.0,585
Kenyon Martin,2003,dpoy,0.0,4.0,585
Adonal Foyle,2003,dpoy,0.0,3.0,585
Shawn Marion,2003,dpoy,0.0,3.0,585
Shaquille O'Neal,2003,dpoy,0.0,3.0,585
Bobby Jackson,2003,smoy,52.0,362.0,590
Michael Redd,2003,smoy,33.0,257.0,590
Andrei Kirilenko,2003,smoy,10.0,127.0,590
Nick Van Exel,2003,smoy,8.0,115.0,590
Corliss Williamson,2003,smoy,5.0,87.0,590
Malik Rose,2003,smoy,6.0,57.0,590
Earl Boykins,2003,smoy,4.0,42.0,590
Al Harrington,2003,smoy,0.0,7.0,590
Jon Barry,2003,smoy,0.0,4.0,590
Toni Kukoč,2003,smoy,0.0,3.0,590
Keon Clark,2003,smoy,0.0,1.0,590
Lucious Harris,2003,smoy,0.0,1.0,590
Joe Johnson,2003,smoy,0.0,1.0,590
Gilbert Arenas,2003,mip,41.0,288.0,590
Matt Harpring,2003,mip,29.0,234.0,590
Troy Murphy,2003,mip,18.0,144.0,590
Tony Parker,2003,mip,14.0,143.0,590
Ricky Davis,2003,mip,2.0,43.0,590
Chauncey Billups,2003,mip,3.0,42.0,590
Jason Williams,2003,mip,3.0,40.0,590
Richard Jefferson,2003,mip,2.0,23.0,590
Troy Hudson,2003,mip,1.0,14.0,590
Corey Maggette,2003,mip,0.0,12.0,590
Bobby Jackson,2003,mip,0.0,11.0,590
Michael Redd,2003,mip,1.0,9.0,590
Metta World Peace,2003,mip,1.0,7.0,590
Andrei Kirilenko,2003,mip,1.0,5.0,590
Dirk Nowitzki,2003,mip,1.0,5.0,590
Jermaine O'Neal,2003,mip,1.0,5.0,590
Stephon Marbury,2003,mip,0.0,5.0,590
Stephen Jackson,2003,mip,0.0,4.0,590
Tracy McGrady,2003,mip,0.0,4.0,590
Brad Miller,2003,mip,0.0,4.0,590
Brent Barry,2003,mip,0.0,3.0,590
Kevin Garnett,2003,mip,0.0,3.0,590
Zydrunas Ilgauskas,2003,mip,0.0,3.0,590
Eric Snow,2003,mip,0.0,3.0,590
Earl Boykins,2003,mip,0.0,2.0,590
Dion Glover,2003,mip,0.0,1.0,590
Anfernee Hardaway,2003,mip,0.0,1.0,590
Antawn Jamison,2003,mip,0.0,1.0,590
Steve Nash,2003,mip,0.0,1.0,590
Rasho Nesterović,2003,mip,0.0,1.0,590
Stromile Swift,2003,mip,0.0,1.0,590
Kevin Garnett,2004,mvp,120.0,1219.0,1230
Tim Duncan,2004,mvp,0.0,716.0,1230
Jermaine O'Neal,2004,mvp,2.0,523.0,1230
Peja Stojaković,2004,mvp,1.0,281.0,1230
Kobe Bryant,2004,mvp,0.0,212.0,1230
Shaquille O'Neal,2004,mvp,0.0,178.0,1230
Ben Wallace,2004,mvp,0.0,24.0,1230
Jason Kidd,2004,mvp,0.0,17.0,1230
LeBron James,2004,mvp,0.0,11.0,1230
Sam Cassell,2004,mvp,0.0,4.0,1230
Baron Davis,2004,mvp,0.0,4.0,1230
Dirk Nowitzki,2004,mvp,0.0,4.0,1230
Andrei Kirilenko,2004,mvp,0.0,2.0,1230
Carmelo Anthony,2004,mvp,0.0,1.0,1230
Yao Ming,2004,mvp,0.0,1.0,1230
Michael Redd,2004,mvp,0.0,1.0,1230
LeBron James,2004,roy,78.0,508.0,590
Carmelo Anthony,2004,roy,40.0,430.0,590
Dwyane Wade,2004,roy,0.0,117.0,590
Kirk Hinrich,2004,roy,0.0,4.0,590
Chris Bosh,2004,roy,0.0,2.0,590
Marquis Daniels,2004,roy,0.0,1.0,590
Metta World Peace,2004,dpoy,80.0,476.0,605
Ben Wallace,2004,dpoy,26.0,325.0,605
Theo Ratliff,2004,dpoy,8.0,90.0,605
Bruce Bowen,2004,dpoy,4.0,76.0,605
Andrei Kirilenko,2004,dpoy,2.0,67.0,605
Kevin Garnett,2004,dpoy,0.0,36.0,605
Tim Duncan,2004,dpoy,0.0,8.0,605
Clifford Robinson,2004,dpoy,1.0,5.0,605
Kenyon Martin,2004,dpoy,0.0,2.0,605
Kobe Bryant,2004,dpoy,0.0,1.0,605
Shaquille O'Neal,2004,dpoy,0.0,1.0,605
James Posey,2004,dpoy,0.0,1.0,605
Earl Watson,2004,dpoy,0.0,1.0,605
Antawn Jamison,2004,smoy,43.0,338.0,600
Al Harrington,2004,smoy,27.0,275.0,600
Manu Ginóbili,2004,smoy,33.0,244.0,600
Bobby Jackson,2004,smoy,5.0,70.0,600
Earl Boykins,2004,smoy,3.0,46.0,600
Desmond Mason,2004,smoy,4.0,45.0,600
Rafer Alston,2004,smoy,1.0,14.0,600
Shane Battier,2004,smoy,2.0,10.0,600
Raja Bell,2004,smoy,1.0,9.0,600
Maurice Taylor,2004,smoy,1.0,8.0,600
Corliss Williamson,2004,smoy,0.0,8.0,600
Bonzi Wells,2004,smoy,0.0,5.0,600
Darrell Armstrong,2004,smoy,0.0,4.0,600
Ricky Davis,2004,smoy,0.0,2.0,600
Fred Hoiberg,2004,smoy,0.0,1.0,600
Vladimir Radmanović,2004,smoy,0.0,1.0,600
Zach Randolph,2004,mip,59.0,379.0,605
Carlos Boozer,2004,mip,12.0,166.0,605
James Posey,2004,mip,17.0,137.0,605
Andrei Kirilenko,2004,mip,11.0,101.0,605
Michael Redd,2004,mip,9.0,95.0,605
Lamar Odom,2004,mip,1.0,31.0,605
Jamaal Magloire,2004,mip,3.0,26.0,605
Samuel Dalembert,2004,mip,3.0,25.0,605
Joe Johnson,2004,mip,1.0,20.0,605
Brian Cardinal,2004,mip,1.0,18.0,605
Rafer Alston,2004,mip,2.0,16.0,605
Mark Blount,2004,mip,0.0,10.0,605
Quentin Richardson,2004,mip,1.0,8.0,605
Carlos Arroyo,2004,mip,0.0,8.0,605
Metta World Peace,2004,mip,1.0,7.0,605
Yao Ming,2004,mip,0.0,7.0,605
Ronald Murray,2004,mip,0.0,7.0,605
Erick Dampier,2004,mip,0.0,5.0,605
Richard Jefferson,2004,mip,0.0,4.0,605
Mike Dunleavy,2004,mip,0.0,3.0,605
Manu Ginóbili,2004,mip,0.0,3.0,605
Corey Maggette,2004,mip,0.0,3.0,605
Tayshaun Prince,2004,mip,0.0,2.0,605
Raja Bell,2004,mip,0.0,1.0,605
Marcus Camby,2004,mip,0.0,1.0,605
Pau Gasol,2004,mip,0.0,1.0,605
Nenê Hilário,2004,mip,0.0,1.0,605
Stephen Jackson,2004,mip,0.0,1.0,605
Desmond Mason,2004,mip,0.0,1.0,605
Kenny Thomas,2004,mip,0.0,1.0,605
Jason Williams,2004,mip,0.0,1.0,605
Steve Nash,2005,mvp,65.0,1066.0,1270
Shaquille O'Neal,2005,mvp,58.0,1032.0,1270
Dirk Nowitzki,2005,mvp,0.0,349.0,1270
Tim Duncan,2005,mvp,1.0,328.0,1270
Allen Iverson,2005,mvp,2.0,240.0,1270
LeBron James,2005,mvp,0.0,93.0,1270
Tracy McGrady,2005,mvp,0.0,44.0,1270
Dwyane Wade,2005,mvp,0.0,43.0,1270
Amar'e Stoudemire,2005,mvp,1.0,41.0,1270
Ray Allen,2005,mvp,0.0,41.0,1270
Kevin Garnett,2005,mvp,0.0,15.0,1270
Gilbert Arenas,2005,mvp,0.0,4.0,1270
Vince Carter,2005,mvp,0.0,3.0,1270
P.J. Brown,2005,mvp,0.0,1.0,1270
Marcus Camby,2005,mvp,0.0,1.0,1270
Shawn Marion,2005,mvp,0.0,1.0,1270
Emeka Okafor,2005,roy,77.0,514.0,630
Ben Gordon,2005,roy,43.0,443.0,630
Dwight Howard,2005,roy,6.0,161.0,630
Andre Iguodala,2005,roy,0.0,14.0,630
Luol Deng,2005,roy,0.0,1.0,630
J.R. Smith,2005,roy,0.0,1.0,630
Ben Wallace,2005,dpoy,45.0,339.0,625
Bruce Bowen,2005,dpoy,33.0,247.0,625
Marcus Camby,2005,dpoy,19.0,168.0,625
Tim Duncan,2005,dpoy,6.0,81.0,625
Shawn Marion,2005,dpoy,5.0,57.0,625
Larry Hughes,2005,dpoy,3.0,53.0,625
Tayshaun Prince,2005,dpoy,6.0,46.0,625
Shaquille O'Neal,2005,dpoy,3.0,32.0,625
Kevin Garnett,2005,dpoy,4.0,30.0,625
Andrei Kirilenko,2005,dpoy,1.0,25.0,625
